aio.h	register_posix_aio_functions
arpa/inet.h	register_posix_net_functions
ctype.h	register_ctype_functions
decimal_math.h	register_decimal_math_functions
dirent.h	register_posix_dir_functions
dlfcn.h	register_posix_functions
errno.h	register_posix_io_functions
fcntl.h	register_posix_io_functions
fenv.h	register_fenv_functions
fnmatch.h	register_posix_io_functions
fts.h	register_posix_dir_functions
getopt.h	register_posix_io_functions
glob.h	register_posix_dir_functions
grp.h	register_posix_io_functions
iconv.h	register_posix_lang_functions
langinfo.h	register_posix_lang_functions
libgen.h	register_posix_io_functions
locale.h	register_locale_functions
math.h	register_math_functions
monetary.h	register_posix_lang_functions
mqueue.h	register_posix_mqueue_functions
ndbm.h	register_posix_ndbm_functions
net/if.h	register_posix_net_functions
netdb.h	register_posix_net_functions
netinet/in.h	register_posix_functions
nl_types.h	register_posix_lang_functions
poll.h	register_posix_poll_functions
pthread.h	register_pthread_functions
pwd.h	register_posix_io_functions
regex.h	register_posix_dir_functions
sched.h	register_posix_sched_functions
search.h	register_posix_search_functions
signal.h	register_signal_functions
spawn.h	register_posix_spawn_functions
stdio.h	register_stdio_functions
stdlib.h	register_stdlib_functions
string.h	register_string_functions
strings.h	register_posix_functions
sys/file.h	register_posix_io_functions
sys/ioctl.h	register_posix_io_functions
sys/ipc.h	register_posix_ipc_functions
sys/mman.h	register_posix_io_functions
sys/mount.h	register_posix_statfs_functions
sys/msg.h	register_posix_ipc_functions
sys/resource.h	register_posix_functions
sys/select.h	register_posix_poll_functions
sys/sem.h	register_posix_ipc_functions
sys/shm.h	register_posix_ipc_functions
sys/socket.h	register_posix_net_functions
sys/stat.h	register_posix_io_functions
sys/statvfs.h	register_posix_statfs_functions
sys/time.h	register_posix_io_functions
sys/times.h	register_posix_io_functions
sys/uio.h	register_posix_io_functions
sys/un.h	register_posix_functions
sys/utsname.h	register_posix_io_functions
sys/wait.h	register_posix_wait_functions
syslog.h	register_posix_lang_functions
termios.h	register_posix_io_functions
threads.h	register_threads_functions
time.h	register_time_functions
uchar.h	register_wide_functions
unistd.h	register_posix_functions
utime.h	register_posix_io_functions
wchar.h	register_wide_functions
wctype.h	register_wide_functions
wordexp.h	register_posix_wordexp_functions
